Date,Team1,Team2,Map,Event
27/11/19,Invictus (16),BTRG (13),"trn
                      Train",Champions Cup China Qualifer by JJB
27/11/19,Invictus (16),BTRG (5),"mrg
                      Mirage",Champions Cup China Qualifer by JJB
27/11/19,Rebirth (5),Faint (16),"vtg
                      Vertigo",ESEA Advanced Season 32 North America
27/11/19,Faint (19),Rebirth (15),"mrg
                      Mirage",ESEA Advanced Season 32 North America
27/11/19,Oceanus (6),iNTACT (16),"inf
                      Inferno",ESEA Advanced Season 32 North America
27/11/19,iNTACT (16),Oceanus (14),"nuke
                      Nuke",ESEA Advanced Season 32 North America
27/11/19,Falkol (8),W7M (16),"ovp
                      Overpass",Gamers Club Masters IV Qualifier
27/11/19,W7M (19),Falkol (16),"trn
                      Train",Gamers Club Masters IV Qualifier
27/11/19,Falkol (16),W7M (12),"inf
                      Inferno",Gamers Club Masters IV Qualifier
27/11/19,RUFUS (9),Santos (16),"inf
                      Inferno",Gamers Club Masters IV Qualifier
27/11/19,RUFUS (16),Santos (10),"nuke
                      Nuke",Gamers Club Masters IV Qualifier
27/11/19,Santos (16),RUFUS (12),"trn
                      Train",Gamers Club Masters IV Qualifier
26/11/19,Ratatatata (16),Tunisia (11),"trn
                      Train",WESG 2019 Africa Closed Qualifier
26/11/19,Tunisia (6),Ratatatata (16),"inf
                      Inferno",WESG 2019 Africa Closed Qualifier
26/11/19,Ratatatata (12),Tunisia (16),"d2
                      Dust2",WESG 2019 Africa Closed Qualifier
26/11/19,Alma (6),Falkol (16),"mrg
                      Mirage",Gamers Club Masters IV Qualifier
26/11/19,Alma (12),Falkol (16),"trn
                      Train",Gamers Club Masters IV Qualifier
26/11/19,Falkol (12),Alma (16),"inf
                      Inferno",Gamers Club Masters IV Qualifier
26/11/19,Soberano (4),Santos (16),"mrg
                      Mirage",Gamers Club Masters IV Qualifier
26/11/19,Santos (16),Soberano (12),"vtg
                      Vertigo",Gamers Club Masters IV Qualifier
26/11/19,Soberano (16),Santos (14),"inf
                      Inferno",Gamers Club Masters IV Qualifier
26/11/19,AGO (16),Virtus.pro (12),"vtg
                      Vertigo",WESG 2019 East Europe Closed Qualifier
26/11/19,AGO (16),Virtus.pro (12),"nuke
                      Nuke",WESG 2019 East Europe Closed Qualifier
26/11/19,Nemiga (10),Secret (16),"mrg
                      Mirage",LOOT.BET Season 5
26/11/19,Secret (16),Nemiga (10),"inf
                      Inferno",LOOT.BET Season 5
26/11/19,AGF (4),Nordavind (16),"inf
                      Inferno",ESEA Advanced Season 32 Europe
26/11/19,Nordavind (16),AGF (1),"nuke
                      Nuke",ESEA Advanced Season 32 Europe
26/11/19,Viva Algeria (16),Viboras (11),"inf
                      Inferno",WESG 2019 Africa Closed Qualifier
26/11/19,Viva Algeria (16),Viboras (3),"ovp
                      Overpass",WESG 2019 Africa Closed Qualifier
26/11/19,Viboras (16),Viva Algeria (12),"d2
                      Dust2",WESG 2019 Africa Closed Qualifier
26/11/19,Heroic (16),HUKKA (5),"mrg
                      Mirage",WESG 2019 North Europe Closed Qualifier
26/11/19,Heroic (16),HUKKA (2),"inf
                      Inferno",WESG 2019 North Europe Closed Qualifier
26/11/19,Camel Riders (16),RvN (12),"mrg
                      Mirage",WESG 2019 MENA
26/11/19,RvN (15),Camel Riders (19),"inf
                      Inferno",WESG 2019 MENA
26/11/19,Aristocracy (16),Wisla Krakow (8),"d2
                      Dust2",WESG 2019 East Europe Closed Qualifier
26/11/19,Wisla Krakow (12),Aristocracy (16),"nuke
                      Nuke",WESG 2019 East Europe Closed Qualifier
26/11/19,Nemiga (16),MAJESTY (3),"ovp
                      Overpass",WESG 2019 CIS Closed Qualifier
26/11/19,MAJESTY (10),Nemiga (16),"inf
                      Inferno",WESG 2019 CIS Closed Qualifier
26/11/19,SKADE (16),AGO (13),"inf
                      Inferno",LOOT.BET Season 5
26/11/19,AGO (6),SKADE (16),"trn
                      Train",LOOT.BET Season 5
26/11/19,EHOME (13),R-Stars (16),"d2
                      Dust2",Champions Cup China Qualifer by JJB
26/11/19,EHOME (13),R-Stars (16),"mrg
                      Mirage",Champions Cup China Qualifer by JJB
26/11/19,NAVI Junior (7),Project X (16),"mrg
                      Mirage",WESG 2019 CIS Closed Qualifier
26/11/19,NAVI Junior (7),Project X (16),"d2
                      Dust2",WESG 2019 CIS Closed Qualifier
26/11/19,TYLOO (16),OneThree (14),"d2
                      Dust2",Champions Cup China Qualifer by JJB
26/11/19,OneThree (6),TYLOO (16),"mrg
                      Mirage",Champions Cup China Qualifer by JJB
26/11/19,Heretics (2),Unique (16),"d2
                      Dust2",LOOT.BET Season 5
26/11/19,Heretics (13),Unique (16),"nuke
                      Nuke",LOOT.BET Season 5
26/11/19,Heretics (16),Unique (6),"mrg
                      Mirage",LOOT.BET Season 5
26/11/19,madlikewizards (12),Genuine (16),"d2
                      Dust2",NVIDIA Geforce Cup Pacific Oceania
26/11/19,madlikewizards (16),Genuine (13),"trn
                      Train",NVIDIA Geforce Cup Pacific Oceania
26/11/19,Genuine (19),madlikewizards (16),"inf
                      Inferno",NVIDIA Geforce Cup Pacific Oceania
26/11/19,Lucid Dream (16),dream[S]cape (11),"trn
                      Train",NEST Pro: Asia Qualifier
26/11/19,Lucid Dream (16),dream[S]cape (8),"mrg
                      Mirage",NEST Pro: Asia Qualifier
26/11/19,Invictus (14),TYLOO (16),"mrg
                      Mirage",Champions Cup China Qualifer by JJB
26/11/19,Invictus (8),TYLOO (16),"d2
                      Dust2",Champions Cup China Qualifer by JJB
26/11/19,MC (11),Genuine (16),"d2
                      Dust2",NVIDIA Geforce Cup Pacific Oceania
26/11/19,MC (11),Genuine (16),"nuke
                      Nuke",NVIDIA Geforce Cup Pacific Oceania
26/11/19,Genuine (17),MC (19),"ovp
                      Overpass",NVIDIA Geforce Cup Pacific Oceania
26/11/19,Ground Zero (13),madlikewizards (16),"mrg
                      Mirage",NVIDIA Geforce Cup Pacific Oceania
26/11/19,Ground Zero (16),madlikewizards (7),"inf
                      Inferno",NVIDIA Geforce Cup Pacific Oceania
26/11/19,madlikewizards (16),Ground Zero (13),"ovp
                      Overpass",NVIDIA Geforce Cup Pacific Oceania
26/11/19,TYLOO (16),EHOME (13),"mrg
                      Mirage",NEST Pro: Asia Qualifier
26/11/19,TYLOO (16),EHOME (12),"d2
                      Dust2",NEST Pro: Asia Qualifier
26/11/19,Recon 5 (16),Faint (4),"inf
                      Inferno",ESEA Advanced Season 32 North America
26/11/19,Recon 5 (6),Faint (16),"nuke
                      Nuke",ESEA Advanced Season 32 North America
26/11/19,Faint (13),Recon 5 (16),"mrg
                      Mirage",ESEA Advanced Season 32 North America
26/11/19,ETHEREAL (16),Rebirth (19),"trn
                      Train",ESEA Advanced Season 32 North America
26/11/19,ETHEREAL (16),Rebirth (13),"nuke
                      Nuke",ESEA Advanced Season 32 North America
26/11/19,Rebirth (16),ETHEREAL (11),"mrg
                      Mirage",ESEA Advanced Season 32 North America
26/11/19,Falkol (13),RUFUS (16),"trn
                      Train",ESEA Open Season 32 Brazil
26/11/19,RUFUS (16),Falkol (5),"ovp
                      Overpass",ESEA Open Season 32 Brazil
25/11/19,Tunisia (8),Viboras (16),"mrg
                      Mirage",WESG 2019 Africa Closed Qualifier
25/11/19,Tunisia (16),Viboras (7),"inf
                      Inferno",WESG 2019 Africa Closed Qualifier
25/11/19,Viboras (16),Tunisia (13),"d2
                      Dust2",WESG 2019 Africa Closed Qualifier
25/11/19,Lyngby Vikings (9),Unicorns of Love (16),"inf
                      Inferno",ESEA Advanced Season 32 Europe
25/11/19,Unicorns of Love (16),Lyngby Vikings (13),"nuke
                      Nuke",ESEA Advanced Season 32 Europe
25/11/19,Lyngby Vikings (19),Unicorns of Love (16),"ovp
                      Overpass",ESEA Advanced Season 32 Europe
25/11/19,Illuminar (16),ENRAGE (8),"trn
                      Train",WESG 2019 East Europe Closed Qualifier
25/11/19,Illuminar (19),ENRAGE (17),"vtg
                      Vertigo",WESG 2019 East Europe Closed Qualifier
25/11/19,Illuminar (9),ENRAGE (16),"mrg
                      Mirage",WESG 2019 East Europe Closed Qualifier
25/11/19,Izako Boars (9),ALTERNATE aTTaX (16),"ovp
                      Overpass",ESEA Advanced Season 32 Europe
25/11/19,ALTERNATE aTTaX (22),Izako Boars (19),"mrg
                      Mirage",ESEA Advanced Season 32 Europe
25/11/19,Ambush (16),Defusekids (11),"trn
                      Train",ESEA Advanced Season 32 Europe
25/11/19,Defusekids (3),Ambush (16),"inf
                      Inferno",ESEA Advanced Season 32 Europe
25/11/19,forZe (13),Aristocracy (16),"trn
                      Train",SECTOR: MOSTBET
25/11/19,Aristocracy (16),forZe (14),"nuke
                      Nuke",SECTOR: MOSTBET
25/11/19,GODSENT (9),Virtus.pro (16),"ovp
                      Overpass",United Masters League Season 2
25/11/19,GODSENT (8),Virtus.pro (16),"trn
                      Train",United Masters League Season 2
25/11/19,Goliath (7),Sinister5 (16),"nuke
                      Nuke",ESEA Open Season 32 South Africa
25/11/19,Sinister5 (16),Goliath (13),"trn
                      Train",ESEA Open Season 32 South Africa
25/11/19,Viva Algeria (16),Ratatatata (10),"inf
                      Inferno",WESG 2019 Africa Closed Qualifier
25/11/19,Ratatatata (8),Viva Algeria (16),"d2
                      Dust2",WESG 2019 Africa Closed Qualifier
25/11/19,Viva Algeria (16),Ratatatata (19),"mrg
                      Mirage",WESG 2019 Africa Closed Qualifier
25/11/19,Copenhagen Flames (13),GamerLegion (16),"inf
                      Inferno",WESG 2019 North Europe Closed Qualifier
25/11/19,GamerLegion (16),Copenhagen Flames (6),"ovp
                      Overpass",WESG 2019 North Europe Closed Qualifier
25/11/19,GamerLegion (11),Copenhagen Flames (16),"nuke
                      Nuke",WESG 2019 North Europe Closed Qualifier
25/11/19,HellRaisers (16),PACT (14),"trn
                      Train",LOOT.BET Season 5
25/11/19,HellRaisers (17),PACT (19),"nuke
                      Nuke",LOOT.BET Season 5
25/11/19,PACT (10),HellRaisers (16),"mrg
                      Mirage",LOOT.BET Season 5
25/11/19,Pompa (4),SKADE (16),"mrg
                      Mirage",WESG 2019 East Europe Closed Qualifier
25/11/19,Pompa (8),SKADE (16),"ovp
                      Overpass",WESG 2019 East Europe Closed Qualifier
25/11/19,SKADE (9),Pompa (16),"trn
                      Train",WESG 2019 East Europe Closed Qualifier
25/11/19,forZe (16),Sprout (14),"inf
                      Inferno",United Masters League Season 2
25/11/19,Sprout (17),forZe (19),"mrg
                      Mirage",United Masters League Season 2
25/11/19,SJ (10),HAVU (16),"ovp
                      Overpass",LOOT.BET Season 5
25/11/19,SJ (7),HAVU (16),"nuke
                      Nuke",LOOT.BET Season 5
25/11/19,Dracarys (16),EXTREMUM (6),"trn
                      Train",CIS Rising League Season 3
25/11/19,EXTREMUM (16),Dracarys (11),"d2
                      Dust2",CIS Rising League Season 3
25/11/19,Dracarys (16),EXTREMUM (13),"ovp
                      Overpass",CIS Rising League Season 3
25/11/19,HellRaisers (16),2BYL9 (3),"nuke
                      Nuke",WESG 2019 CIS Closed Qualifier
25/11/19,2BYL9 (16),HellRaisers (12),"vtg
                      Vertigo",WESG 2019 CIS Closed Qualifier
25/11/19,2BYL9 (9),HellRaisers (16),"mrg
                      Mirage",WESG 2019 CIS Closed Qualifier
25/11/19,BTRG (7),OneThree (16),"ovp
                      Overpass",Champions Cup China Qualifer by JJB
25/11/19,BTRG (6),OneThree (16),"nuke
                      Nuke",Champions Cup China Qualifer by JJB
25/11/19,ahq (16),Heretics (12),"vtg
                      Vertigo",WESG 2019 Taiwan
25/11/19,ahq (16),Heretics (2),"d2
                      Dust2",WESG 2019 Taiwan
25/11/19,Lynn Vision (16),R-Stars (8),"mrg
                      Mirage",Champions Cup China Qualifer by JJB
25/11/19,Lynn Vision (16),R-Stars (9),"inf
                      Inferno",Champions Cup China Qualifer by JJB
25/11/19,R-Stars (16),Lynn Vision (6),"d2
                      Dust2",Champions Cup China Qualifer by JJB
25/11/19,Oceanus (16),Gorilla Gang (14),"inf
                      Inferno",ESEA Advanced Season 32 North America
25/11/19,Oceanus (16),Gorilla Gang (8),"mrg
                      Mirage",ESEA Advanced Season 32 North America
25/11/19,Gorilla Gang (16),Oceanus (11),"nuke
                      Nuke",ESEA Advanced Season 32 North America
24/11/19,CLEANTmix (2),Illuminar (16),"ovp
                      Overpass",ESL Polish Championship Autumn 2019
24/11/19,Illuminar (19),CLEANTmix (17),"mrg
                      Mirage",ESL Polish Championship Autumn 2019
24/11/19,SJ (14),ALTERNATE aTTaX (16),"mrg
                      Mirage",ESEA Advanced Season 32 Europe
24/11/19,ALTERNATE aTTaX (16),SJ (13),"vtg
                      Vertigo",ESEA Advanced Season 32 Europe
24/11/19,Endpoint (16),Fierce (9),"mrg
                      Mirage",ESL Premiership Winter 2019 Finals
24/11/19,Fierce (8),Endpoint (16),"trn
                      Train",ESL Premiership Winter 2019 Finals
24/11/19,Ambush (19),HAVU (16),"trn
                      Train",WESG 2019 North Europe Closed Qualifier
24/11/19,HAVU (16),Ambush (6),"ovp
                      Overpass",WESG 2019 North Europe Closed Qualifier
24/11/19,HAVU (13),Ambush (16),"d2
                      Dust2",WESG 2019 North Europe Closed Qualifier
24/11/19,pro100 (16),Nordavind (19),"inf
                      Inferno",LOOT.BET Season 5
24/11/19,Nordavind (16),pro100 (8),"ovp
                      Overpass",LOOT.BET Season 5
24/11/19,Nordavind (7),pro100 (16),"d2
                      Dust2",LOOT.BET Season 5
24/11/19,forZe (16),Gambit Youngsters (12),"inf
                      Inferno",EPICENTER 2019 CIS Closed Qualifier
24/11/19,forZe (22),Gambit Youngsters (20),"vtg
                      Vertigo",EPICENTER 2019 CIS Closed Qualifier
24/11/19,Heretics (14),DETONA (16),"mrg
                      Mirage",OMEN Atlantic Challenge 2019
24/11/19,Heretics (16),DETONA (3),"ovp
                      Overpass",OMEN Atlantic Challenge 2019
24/11/19,Heretics (16),DETONA (13),"d2
                      Dust2",OMEN Atlantic Challenge 2019
24/11/19,DETONA (16),Heretics (10),"inf
                      Inferno",OMEN Atlantic Challenge 2019
24/11/19,Copenhagen Flames (13),BIG (16),"mrg
                      Mirage",United Masters League Season 2
24/11/19,BIG (16),Copenhagen Flames (10),"inf
                      Inferno",United Masters League Season 2
24/11/19,SG.pro (16),Cerberus (14),"ovp
                      Overpass",HardCup 4
24/11/19,SG.pro (8),Cerberus (16),"nuke
                      Nuke",HardCup 4
24/11/19,Cerberus (7),SG.pro (16),"vtg
                      Vertigo",HardCup 4
24/11/19,PACT (8),AGO (16),"d2
                      Dust2",ESL Polish Championship Autumn 2019
24/11/19,PACT (16),AGO (13),"trn
                      Train",ESL Polish Championship Autumn 2019
24/11/19,AGO (16),PACT (2),"nuke
                      Nuke",ESL Polish Championship Autumn 2019
24/11/19,HellRaisers (16),Kryvbas (10),"vtg
                      Vertigo",WESG 2019 CIS Closed Qualifier
24/11/19,Kryvbas (8),HellRaisers (16),"inf
                      Inferno",WESG 2019 CIS Closed Qualifier
24/11/19,Vexed (8),Endpoint (16),"trn
                      Train",ESL Premiership Winter 2019 Finals
24/11/19,Endpoint (10),Vexed (16),"nuke
                      Nuke",ESL Premiership Winter 2019 Finals
24/11/19,Vexed (14),Endpoint (16),"d2
                      Dust2",ESL Premiership Winter 2019 Finals
24/11/19,2115 (7),Izako Boars (16),"mrg
                      Mirage",LOOT.BET Season 5
24/11/19,Izako Boars (16),2115 (9),"nuke
                      Nuke",LOOT.BET Season 5
24/11/19,MELBET (12),Gambit Youngsters (16),"ovp
                      Overpass",EPICENTER 2019 CIS Closed Qualifier
24/11/19,MELBET (17),Gambit Youngsters (19),"d2
                      Dust2",EPICENTER 2019 CIS Closed Qualifier
24/11/19,Movistar Riders (11),Heretics (16),"inf
                      Inferno",OMEN Atlantic Challenge 2019
24/11/19,Heretics (16),Movistar Riders (12),"ovp
                      Overpass",OMEN Atlantic Challenge 2019
24/11/19,ENCE (11),mousesports (16),"inf
                      Inferno",CS:GO Asia Championships 2019
24/11/19,mousesports (16),ENCE (10),"trn
                      Train",CS:GO Asia Championships 2019
24/11/19,Nemiga (16),Bring Me The Horizon (14),"inf
                      Inferno",WESG 2019 CIS Closed Qualifier
